accession	accession_version	strain	isolate	date	region	country	division	location	length	host	is_lab_host	date_released	date_updated	authors	full_authors	institution	url	genotype	MuV_genotype	taxon_id	MuV_genotype_nextclade_sh	MuV_genotype_nextclade_genome	MuV_genotype_nextclade_genome_new	Match
MW006768	MW006768.1	MuVs/Noord-Holland.NLD/4.20[G]		2020-01-XX	Europe	Netherlands	North Holland		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006768	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006769	MW006769.1	MuVs/Noord-Holland.NLD/5.20[G]		2020-01-XX	Europe	Netherlands	North Holland		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006769	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006770	MW006770.1	MuVs/Noord-Holland.NLD/50.19[G]		2019-12-XX	Europe	Netherlands	North Holland		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006770	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006771	MW006771.1	MuVs/Noord-Holland.NLD/9.20[G]		2020-02-XX	Europe	Netherlands	North Holland		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006771	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006772	MW006772.1	MuVs/Utrecht.NLD/8.20[G]		2020-02-XX	Europe	Netherlands	Utrecht		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006772	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006773	MW006773.1	MuVs/Zuid-Holland.NLD/1.20[G]		2020-01-XX	Europe	Netherlands	South Holland		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006773	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006774	MW006774.1	MuVs/Zuid-Holland.NLD/10.20[G]		2020-03-XX	Europe	Netherlands	South Holland		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006774	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006775	MW006775.1	MuVs/Zuid-Holland.NLD/2.20[G]		2020-01-XX	Europe	Netherlands	South Holland		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006775	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006776	MW006776.1	MuVs/Zuid-Holland.NLD/3.20[G]		2020-01-XX	Europe	Netherlands	South Holland		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006776	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006777	MW006777.1	MuVs/Zuid-Holland.NLD/5.20[G]		2020-01-XX	Europe	Netherlands	South Holland		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006777	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006778	MW006778.1	MuVs/Zuid-Holland.NLD/5.20/2[G]		2020-01-XX	Europe	Netherlands	South Holland		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006778	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006779	MW006779.1	MuVs/Zuid-Holland.NLD/51.19[G]		2019-12-XX	Europe	Netherlands	South Holland		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006779	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006780	MW006780.1	MuVs/Zuid-Holland.NLD/51.19/2[G]		2019-12-XX	Europe	Netherlands	South Holland		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006780	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006781	MW006781.1	MuVs/Zuid-Holland.NLD/53.19[G]		2019-12-XX	Europe	Netherlands	South Holland		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006781	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006782	MW006782.1	MuVs/Zuid-Holland.NLD/7.20[G]		2020-02-XX	Europe	Netherlands	South Holland		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006782	Mumps virus genotype G	G	1384672		G	A	FALSE
OQ408150	OQ408150.1	MuVs/Palencia.ESP/46.17/2[G]	201760226	2017-11-13	Europe	Spain	Palencia		381	Homo sapiens		2023-08-15	2023-08-15	Gavilan et al.	"Gavilan,A.M.,Castellanos,A.,Echevarria,J.E.,Fernandez-Garcia,A."	"National Centre for Microbiology, Virology"	https://www.ncbi.nlm.nih.gov/nuccore/OQ408150	Mumps virus genotype G	G	1384672	G	unclassified	A	FALSE
OR413936	OR413936.1	MuVi/Baghdad.IRQ/2.2022	No.6	2022-09-10	Asia	Iraq	Baghdad		589	Homo sapiens		2023-10-07	2023-10-07	Abady et al.	"Abady,N.R."	"Department of Medical Microbiology; Al-Qasim green university, microbiology"	https://www.ncbi.nlm.nih.gov/nuccore/OR413936	Mumps orthorubulavirus		2560602	G	unclassified	A	FALSE
U50181	U50181.1	SEv3		XXXX-XX-XX					300			1997-02-13	1997-02-13	Orvell et al.	"Orvell,C.,Kalantari,M.,Johansson,B."	"Bo Johansson, Clinical Virology, Huddinge University Hospital, F68, Huddinge S-141 86"	https://www.ncbi.nlm.nih.gov/nuccore/U50181	Mumps orthorubulavirus		2560602	K	K	A	FALSE
U50182	U50182.1	SEv4		XXXX-XX-XX					300			1997-02-13	1997-02-13	Orvell et al.	"Orvell,C.,Kalantari,M.,Johansson,B."	"Bo Johansson, Clinical Virology, Huddinge University Hospital, F68, Huddinge S-141 86"	https://www.ncbi.nlm.nih.gov/nuccore/U50182	Mumps orthorubulavirus		2560602	K	K	A	FALSE
U50281	U50281.1	SEv35		XXXX-XX-XX					300			1997-02-13	1997-02-13	Orvell et al.	"Orvell,C.,Kalantari,M.,Johansson,B."	"Bo Johansson, Clinical Virology, Huddinge University Hospital, F68, Huddinge S-141 86"	https://www.ncbi.nlm.nih.gov/nuccore/U50281	Mumps orthorubulavirus		2560602	D	unclassified	A	FALSE
U50282	U50282.1	SEv5		XXXX-XX-XX					300			1997-02-13	1997-02-13	Orvell et al.	"Orvell,C.,Kalantari,M.,Johansson,B."	"Bo Johansson, Clinical Virology, Huddinge University Hospital, F68, Huddinge S-141 86"	https://www.ncbi.nlm.nih.gov/nuccore/U50282	Mumps orthorubulavirus		2560602	K	K	A	FALSE
U50284	U50284.1	SE50647		XXXX-XX-XX					300			1997-02-13	1997-02-13	Orvell et al.	"Orvell,C.,Kalantari,M.,Johansson,B."	"Bo Johansson, Clinical Virology, Huddinge University Hospital, F68, Huddinge S-141 86"	https://www.ncbi.nlm.nih.gov/nuccore/U50284	Mumps orthorubulavirus		2560602	K	K	A	FALSE
U50285	U50285.1	SEv31		XXXX-XX-XX					300			1997-02-13	1997-02-13	Orvell et al.	"Orvell,C.,Kalantari,M.,Johansson,B."	"Bo Johansson, Clinical Virology, Huddinge University Hospital, F68, Huddinge S-141 86"	https://www.ncbi.nlm.nih.gov/nuccore/U50285	Mumps orthorubulavirus		2560602	C	C	A	FALSE
U50286	U50286.1	SEv34		XXXX-XX-XX					300			1997-02-13	1997-02-13	Orvell et al.	"Orvell,C.,Kalantari,M.,Johansson,B."	"Bo Johansson, Clinical Virology, Huddinge University Hospital, F68, Huddinge S-141 86"	https://www.ncbi.nlm.nih.gov/nuccore/U50286	Mumps orthorubulavirus		2560602	C	C	A	FALSE
U50287	U50287.1	SEv29		XXXX-XX-XX					300			1997-02-13	1997-02-13	Orvell et al.	"Orvell,C.,Kalantari,M.,Johansson,B."	"Bo Johansson, Clinical Virology, Huddinge University Hospital, F68, Huddinge S-141 86"	https://www.ncbi.nlm.nih.gov/nuccore/U50287	Mumps orthorubulavirus		2560602	C	C	A	FALSE
U50288	U50288.1	SE26068		XXXX-XX-XX					300			1997-02-13	1997-02-13	Orvell et al.	"Orvell,C.,Kalantari,M.,Johansson,B."	"Bo Johansson, Clinical Virology, Huddinge University Hospital, F68, Huddinge S-141 86"	https://www.ncbi.nlm.nih.gov/nuccore/U50288	Mumps orthorubulavirus		2560602	K	K	A	FALSE
U50289	U50289.1	SEv1		XXXX-XX-XX					300			1997-02-13	1997-02-13	Orvell et al.	"Orvell,C.,Kalantari,M.,Johansson,B."	"Bo Johansson, Clinical Virology, Huddinge University Hospital, F68, Huddinge S-141 86"	https://www.ncbi.nlm.nih.gov/nuccore/U50289	Mumps orthorubulavirus		2560602	K	K	A	FALSE
U50290	U50290.1	SEv10		XXXX-XX-XX					300			1997-02-13	1997-02-13	Orvell et al.	"Orvell,C.,Kalantari,M.,Johansson,B."	"Bo Johansson, Clinical Virology, Huddinge University Hospital, F68, Huddinge S-141 86"	https://www.ncbi.nlm.nih.gov/nuccore/U50290	Mumps orthorubulavirus		2560602	D	D	A	FALSE
U50291	U50291.1	SEv11		XXXX-XX-XX					300			1997-02-13	1997-02-13	Orvell et al.	"Orvell,C.,Kalantari,M.,Johansson,B."	"Bo Johansson, Clinical Virology, Huddinge University Hospital, F68, Huddinge S-141 86"	https://www.ncbi.nlm.nih.gov/nuccore/U50291	Mumps orthorubulavirus		2560602	K	K	A	FALSE
U50292	U50292.1	SEv27		XXXX-XX-XX					300			1997-02-13	1997-02-13	Orvell et al.	"Orvell,C.,Kalantari,M.,Johansson,B."	"Bo Johansson, Clinical Virology, Huddinge University Hospital, F68, Huddinge S-141 86"	https://www.ncbi.nlm.nih.gov/nuccore/U50292	Mumps orthorubulavirus		2560602	C	C	A	FALSE
U50293	U50293.1	SEv28		XXXX-XX-XX					300			1997-02-13	1997-02-13	Orvell et al.	"Orvell,C.,Kalantari,M.,Johansson,B."	"Bo Johansson, Clinical Virology, Huddinge University Hospital, F68, Huddinge S-141 86"	https://www.ncbi.nlm.nih.gov/nuccore/U50293	Mumps orthorubulavirus		2560602	K	K	A	FALSE
U50294	U50294.1	SEv33		XXXX-XX-XX					300			1997-02-13	1997-02-13	Orvell et al.	"Orvell,C.,Kalantari,M.,Johansson,B."	"Bo Johansson, Clinical Virology, Huddinge University Hospital, F68, Huddinge S-141 86"	https://www.ncbi.nlm.nih.gov/nuccore/U50294	Mumps orthorubulavirus		2560602	D	unclassified	A	FALSE
U50296	U50296.1	JPmk1		XXXX-XX-XX					300			1997-02-18	1997-02-18	Orvell et al.	"Orvell,C.,Kalantari,M.,Johansson,B."	"Bo Johansson, Clinical Virology, Huddinge University Hospital, F68, Huddinge S-141 86"	https://www.ncbi.nlm.nih.gov/nuccore/U50296	Mumps orthorubulavirus		2560602	B	B	A	FALSE
U80435	U80435.1	Wsh3		XXXX-XX-XX					380			1997-01-28	1998-01-21	Kunkel et al.	"Kunkel,U.,Schreier,E.,Siegl,G.,Schultze,D.,Driesel,G.,Henning,U.,Gerike,E.,Willers,H.,Wu,L.,Bai,Z.,Li,Y.,Ning,X.,Yang,Z."	"Lanzhou Institute of Biological Products, Research Department of Virology, 118 Yanchang Road, Lanzhou, Gansu Province, Lanzhou 730046 People'S Republic Of China"	https://www.ncbi.nlm.nih.gov/nuccore/U80435	Mumps orthorubulavirus		2560602	F	unclassified	A	FALSE
X52816	X52816.1	urabe vaccine Am9		XXXX-XX-XX					434			1990-07-19	1993-09-12	Turner et al.	"Turner,P.C.,Forsey,T.,Minor,P.D."	"Turner P.C., National Institute for Biological Standards and Control, Blanche Lane, South Mimms, Potters Bar, Herts EN6 3QG"	https://www.ncbi.nlm.nih.gov/nuccore/X52816	Mumps orthorubulavirus		2560602	B	B	A	FALSE
MH509394	MH509394.1	MuV/ITA/52.00/INMI-2[C]	MuV/ITA/52.00/INMI-2[C]	2000-12-27	Europe	Italy			425	Homo sapiens	TRUE	2018-09-18	2018-09-18	Meschi et al.	"Meschi,S.,Casetti,R.,Castilletti,C.,Lalle,E.,Di Caro,A.,Ippolito,G.,Capobianchi,M.R."	"National Institute for Infectious Diseases 'L. Spallanzani', Laboratory of Virology"	https://www.ncbi.nlm.nih.gov/nuccore/MH509394	Mumps virus genotype C	C	1428458	C	C	A	FALSE
MH521278	MH521278.1	IQ-1	IQ-1	2018-02-20	Asia	Iraq			221	Homo sapiens		2018-06-30	2018-06-30	Ighawish et al.	"Ighawish,Z.A.,Saleh,R.H.,AL-Jubory,S.A.,Al-Jeburi,N.R."	"College of Medicine, University of Babylon, Microbiology"	https://www.ncbi.nlm.nih.gov/nuccore/MH521278	Mumps virus genotype F	F	1384673	F	F	A	FALSE
MH521279	MH521279.1	IQ-2	IQ-2	2018-02-20	Asia	Iraq			221	Homo sapiens		2018-06-30	2018-06-30	Ighawish et al.	"Ighawish,Z.A.,Saleh,R.H.,AL-Jubory,S.A.,Al-Jeburi,N.R."	"College of Medicine, University of Babylon, Microbiology"	https://www.ncbi.nlm.nih.gov/nuccore/MH521279	Mumps virus genotype F	F	1384673	F	F	A	FALSE
MH521280	MH521280.1	IQ-3	IQ-3	2018-02-20	Asia	Iraq			221	Homo sapiens		2018-06-30	2018-06-30	Ighawish et al.	"Ighawish,Z.A.,Saleh,R.H.,AL-Jubory,S.A.,Al-Jeburi,N.R."	"College of Medicine, University of Babylon, Microbiology"	https://www.ncbi.nlm.nih.gov/nuccore/MH521280	Mumps virus genotype F	F	1384673	F	F	A	FALSE
MH521281	MH521281.1	IQ-4	IQ-4	2018-02-20	Asia	Iraq			221	Homo sapiens		2018-06-30	2018-06-30	Ighawish et al.	"Ighawish,Z.A.,Saleh,R.H.,AL-Jubory,S.A.,Al-Jeburi,N.R."	"College of Medicine, University of Babylon, Microbiology"	https://www.ncbi.nlm.nih.gov/nuccore/MH521281	Mumps virus genotype F	F	1384673	F	F	A	FALSE
MH521282	MH521282.1	IQ-5	IQ-5	2018-02-20	Asia	Iraq			221	Homo sapiens		2018-06-30	2018-06-30	Ighawish et al.	"Ighawish,Z.A.,Saleh,R.H.,AL-Jubory,S.A.,Al-Jeburi,N.R."	"College of Medicine, University of Babylon, Microbiology"	https://www.ncbi.nlm.nih.gov/nuccore/MH521282	Mumps virus genotype F	F	1384673	F	F	A	FALSE
MK276758	MK276758.1	MuVs/Middelburg.NLD/33.18[G]	18248	2018-XX-XX	Europe	Netherlands	Middelburg		428	Homo sapiens		2019-02-20	2019-02-20	Bodewes et al.	"Bodewes,R.,van Rooijen,K.,Cremer,J.,Veldhuijzen,I.K.,van Binnendijk,R."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MK276758	Mumps virus genotype G	G	1384672		unclassified	A	FALSE
MK276837	MK276837.1	MuVs/Limmen.NLD/48.10[G]	101321	2010-XX-XX	Europe	Netherlands	Limmen		758	Homo sapiens		2019-02-20	2019-02-20	Bodewes et al.	"Bodewes,R.,van Rooijen,K.,Cremer,J.,Veldhuijzen,I.K.,van Binnendijk,R."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MK276837	Mumps virus genotype G	G	1384672		G	A	FALSE
MK276838	MK276838.1	MuVs/Leeuwarden.NLD/49.10[G]	101304	2010-XX-XX	Europe	Netherlands	Leeuwarden		758	Homo sapiens		2019-02-20	2019-02-20	Bodewes et al.	"Bodewes,R.,van Rooijen,K.,Cremer,J.,Veldhuijzen,I.K.,van Binnendijk,R."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MK276838	Mumps virus genotype G	G	1384672		G	A	FALSE
MK276839	MK276839.1	MuVs/Leiden.NLD/47.10[G]	101264	2010-XX-XX	Europe	Netherlands	South Holland	Leiden	758	Homo sapiens		2019-02-20	2019-02-20	Bodewes et al.	"Bodewes,R.,van Rooijen,K.,Cremer,J.,Veldhuijzen,I.K.,van Binnendijk,R."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MK276839	Mumps virus genotype G	G	1384672		G	A	FALSE
MK276840	MK276840.1	MuVs/Middelburg.NLD/33.18[G]	18248	2018-XX-XX	Europe	Netherlands	Middelburg		758	Homo sapiens		2019-02-20	2019-02-20	Bodewes et al.	"Bodewes,R.,van Rooijen,K.,Cremer,J.,Veldhuijzen,I.K.,van Binnendijk,R."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MK276840	Mumps virus genotype G	G	1384672		G	A	FALSE
MK276841	MK276841.1	MuVs/Musselkanaal.NLD/26.18[G]	18191	2018-XX-XX	Europe	Netherlands	Musselkanaal		758	Homo sapiens		2019-02-20	2019-02-20	Bodewes et al.	"Bodewes,R.,van Rooijen,K.,Cremer,J.,Veldhuijzen,I.K.,van Binnendijk,R."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MK276841	Mumps virus genotype G	G	1384672		G	A	FALSE
MK276842	MK276842.1	MuVs/Onstwedde.NLD/25.18[G]	18171	2018-XX-XX	Europe	Netherlands	Onstwedde		758	Homo sapiens		2019-02-20	2019-02-20	Bodewes et al.	"Bodewes,R.,van Rooijen,K.,Cremer,J.,Veldhuijzen,I.K.,van Binnendijk,R."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MK276842	Mumps virus genotype G	G	1384672		G	A	FALSE
MK276843	MK276843.1	MuVs/Voorburg.NLD/14.15[G]	1500093	2010-XX-XX	Europe	Netherlands	Voorburg		758	Homo sapiens		2019-02-20	2019-02-20	Bodewes et al.	"Bodewes,R.,van Rooijen,K.,Cremer,J.,Veldhuijzen,I.K.,van Binnendijk,R."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MK276843	Mumps virus genotype G	G	1384672		G	A	FALSE
MK276844	MK276844.1	MuVs/Voorburg.NLD/16.15[G]	15110	2015-XX-XX	Europe	Netherlands	Voorburg		758	Homo sapiens		2019-02-20	2019-02-20	Bodewes et al.	"Bodewes,R.,van Rooijen,K.,Cremer,J.,Veldhuijzen,I.K.,van Binnendijk,R."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MK276844	Mumps virus genotype G	G	1384672		G	A	FALSE
MK276845	MK276845.1	MuVs/Voorburg.NLD/23.15[G]	15155	2015-XX-XX	Europe	Netherlands	Voorburg		758	Homo sapiens		2019-02-20	2019-02-20	Bodewes et al.	"Bodewes,R.,van Rooijen,K.,Cremer,J.,Veldhuijzen,I.K.,van Binnendijk,R."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MK276845	Mumps virus genotype G	G	1384672		G	A	FALSE
MK276846	MK276846.1	MuVs/Wageningen.NLD/08.18/1[G]	18061	2018-XX-XX	Europe	Netherlands	Wageningen		758	Homo sapiens		2019-02-20	2019-02-20	Bodewes et al.	"Bodewes,R.,van Rooijen,K.,Cremer,J.,Veldhuijzen,I.K.,van Binnendijk,R."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MK276846	Mumps virus genotype G	G	1384672		G	A	FALSE
MK276847	MK276847.1	MuVs/Wageningen.NLD/08.18/2[G]	18067	2018-XX-XX	Europe	Netherlands	Wageningen		758	Homo sapiens		2019-02-20	2019-02-20	Bodewes et al.	"Bodewes,R.,van Rooijen,K.,Cremer,J.,Veldhuijzen,I.K.,van Binnendijk,R."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MK276847	Mumps virus genotype G	G	1384672		G	A	FALSE
MK276848	MK276848.1	MuVs/Amsterdam.NLD/21.18[G]	18150	2018-XX-XX	Europe	Netherlands	North Holland	Amsterdam	758	Homo sapiens		2019-02-20	2019-02-20	Bodewes et al.	"Bodewes,R.,van Rooijen,K.,Cremer,J.,Veldhuijzen,I.K.,van Binnendijk,R."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MK276848	Mumps virus genotype G	G	1384672		G	A	FALSE
MK276849	MK276849.1	MuVs/Bunnik.NLD/25.13[G]	13332	2013-XX-XX	Europe	Netherlands	Bunnik		758	Homo sapiens		2019-02-20	2019-02-20	Bodewes et al.	"Bodewes,R.,van Rooijen,K.,Cremer,J.,Veldhuijzen,I.K.,van Binnendijk,R."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MK276849	Mumps virus genotype G	G	1384672		G	A	FALSE
MK276850	MK276850.1	MuVs/Sassenheim.NLD/35.17[G]	17257	2017-XX-XX	Europe	Netherlands	Sassenheim		758	Homo sapiens		2019-02-20	2019-02-20	Bodewes et al.	"Bodewes,R.,van Rooijen,K.,Cremer,J.,Veldhuijzen,I.K.,van Binnendijk,R."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MK276850	Mumps virus genotype G	G	1384672		G	A	FALSE
MK276851	MK276851.1	MuVs/Amsterdam.NLD/29.17/2[G]	17211	2017-XX-XX	Europe	Netherlands	North Holland	Amsterdam	758	Homo sapiens		2019-02-20	2019-02-20	Bodewes et al.	"Bodewes,R.,van Rooijen,K.,Cremer,J.,Veldhuijzen,I.K.,van Binnendijk,R."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MK276851	Mumps virus genotype G	G	1384672		G	A	FALSE
MK276852	MK276852.1	MuVs/Beugen.NLD/16.18[G]	18107	2018-XX-XX	Europe	Netherlands	Beugen		758	Homo sapiens		2019-02-20	2019-02-20	Bodewes et al.	"Bodewes,R.,van Rooijen,K.,Cremer,J.,Veldhuijzen,I.K.,van Binnendijk,R."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MK276852	Mumps virus genotype G	G	1384672		G	A	FALSE
MK276853	MK276853.1	MuVs/Amsterdam.NLD/17.18[G]	18120	2018-XX-XX	Europe	Netherlands	North Holland	Amsterdam	758	Homo sapiens		2019-02-20	2019-02-20	Bodewes et al.	"Bodewes,R.,van Rooijen,K.,Cremer,J.,Veldhuijzen,I.K.,van Binnendijk,R."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MK276853	Mumps virus genotype G	G	1384672		G	A	FALSE
